rHole,N,nSection,width,pBack,pInlet,pOutlet,ApInlet,ApBack,MSerrorInlet,MSerrorBack
0.05,96.0,2,0.5,671.2838900000006,9658.91151,0.0,9604.019178581973,659.614569711759,-0.5715558288392686,-1.7691119669083242
0.05,48.0,4,0.5,491.91985999999997,9407.89951,0.0,9354.813012213759,476.7228863578566,-0.5674779144909666,-3.187800308528841
0.05,48.0,2,1.0,661.5132700000013,9647.64326,0.0,9594.499772833773,651.5486182001387,-0.5538953402938231,-1.5293796228728618
0.05,96.0,1,1.0,750.8507100000006,9778.79225,0.0,9727.412641687488,742.4522867576106,-0.5281939833858982,-1.1311734628856798
0.05,64.0,1,2.0,733.2067300000008,7457.59683,0.0,7421.609550596247,724.2995448664924,-0.4848985810748095,-1.2297653914928557
0.05,64.0,2,1.5,652.8083200000001,5067.08171,0.0,5043.047911383579,641.8247245551374,-0.4765728789165434,-1.7113076241298784
0.05,96.0,4,3.0,423.6161440000001,1049.58138,0.0,1044.9135028186831,408.75394255178344,-0.4467237880193169,-3.635977516310758
0.05,48.0,3,1.5,562.7996700000003,4442.56494,0.0,4423.268074049169,549.4360283814531,-0.43625811566891226,-2.4322470548417296
0.05,64.0,1,3.0,714.9145900000003,5157.43476,0.0,5138.3536024556515,705.9136769534198,-0.3713476926778563,-1.2750727660394185
0.05,80.0,4,3.0,427.90473800000007,1199.57581,0.0,1195.3720087966558,412.7167716993497,-0.3516730500972741,-3.6799973594759305
0.05,48.0,4,1.5,470.03566,3317.31862,0.0,3309.7045499691762,454.90487477335137,-0.23005286169409533,-3.326142687344755
0.05,64.0,4,3.0,431.985861,1423.16238,0.0,1420.0680282009648,416.8020878541404,-0.21790165946875759,-3.642921565971898
0.05,80.0,2,1.5,652.3932199999995,4161.02867,0.0,4152.828145691604,641.592837075043,-0.19746842442549886,-1.683370246805485
0.05,48.0,4,3.0,436.3777600000001,1796.66641,0.0,1793.1797235777692,421.01570670500837,-0.19444154851774492,-3.648807645496083
0.05,64.0,3,0.5,581.9215899999999,9527.00188,0.0,9509.928985926153,569.2414317571256,-0.1795270406236754,-2.2275536416478676
0.05,48.0,2,2.0,644.6617900000001,5052.09933,0.0,5043.4502742763925,632.6059930588581,-0.17149084958210298,-1.905735493090777
0.05,80.0,1,2.0,733.0621300000003,6089.68108,0.0,6079.741582227277,724.2914844433317,-0.16348553040114733,-1.2109276092634746
0.05,64.0,3,1.5,561.6913599999998,3439.31796,0.0,3433.795749002594,548.5351193385045,-0.16081943717851183,-2.3984317863477584
0.05,64.0,4,1.5,467.73883000000023,2570.68685,0.0,2566.801027678307,452.7200589203153,-0.15138774995768844,-3.317452095120981
0.05,48.0,2,3.0,625.3467600000004,3532.31793,0.0,3527.5096553972376,614.0478626497902,-0.13630790763125858,-1.8400678574878864
0.05,96.0,3,3.0,527.3229630000001,1423.58867,0.0,1421.7326087983593,514.0614164244926,-0.13054924605053367,-2.5797591789220418
0.05,96.0,4,1.5,463.08898,1825.156,0.0,1822.7996914314087,448.45542521398374,-0.12926865083792283,-3.2631012946345206
0.05,80.0,4,1.5,465.57555999999977,2123.23071,0.0,2120.6163785431486,450.57052634147044,-0.12328167806792396,-3.3302297379206687
0.05,48.0,3,3.0,533.5809299999999,2416.42073,0.0,2413.534514541214,519.3820061912913,-0.11958459435309102,-2.733811267901139
0.05,80.0,1,3.0,715.8557500000006,4253.18453,0.0,4248.236014231304,705.8861444131676,-0.11648401247293197,-1.4123532053630528
0.05,64.0,4,0.5,490.8921799999998,7113.97193,0.0,7106.687420042191,475.97811833475225,-0.10250218600110744,-3.1333502719464534
0.05,96.0,2,1.5,652.2888800000001,3562.8394,0.0,3559.309872595536,641.3620005992238,-0.09916325160781768,-1.7036992198738377
0.05,80.0,3,3.0,529.5203399999998,1621.82929,0.0,1620.450064560253,515.8032173975544,-0.08511372673006408,-2.6593712756686814
