Points_0,Points_1,Points_2,U_0,U_1,U_2,p
2,2.5,5.52,-0.90702,-0.0111027,-4.21308,204.721
2,2.5,5.55,-0.894268,-0.0144599,-4.10106,205.746
2,2.5,5.58,-0.846776,-0.0144048,-3.97662,206.834
2,2.5,5.61,-0.804639,-0.0106667,-3.85424,207.817
2,2.5,5.64,-0.763701,-0.010107,-3.72048,208.724
2,2.5,5.67,-0.727946,-0.00912325,-3.60006,209.607
2,2.5,5.7,-0.710622,-0.00755163,-3.53535,210.386
2,2.5,5.73,-0.689202,-0.0101528,-3.46461,211.159
2,2.5,5.76,-0.651237,-0.0151519,-3.3861,211.785
2,2.5,5.79,-0.620323,-0.0155077,-3.30615,212.296
2,2.5,5.82,-0.589391,-0.0157775,-3.22797,212.816
2,2.5,5.85,-0.555552,-0.0166321,-3.17159,213.376
2,2.5,5.88,-0.522912,-0.0166316,-3.12861,213.765
2,2.5,5.91,-0.489241,-0.0147026,-3.08015,214.196
2,2.5,5.94,-0.446225,-0.00991552,-3.03196,214.648
2,2.5,5.97,-0.398156,-0.00682488,-2.9813,215.168
2,2.5,6,-0.359879,-0.0118311,-2.93112,215.71
2,2.5,6.03,-0.344107,-0.00713464,-2.90797,216.192
2,2.5,6.06,-0.324748,-0.00428066,-2.89937,216.644
2,2.5,6.09,-0.296867,-0.00422106,-2.89069,217.099
2,2.5,6.12,-0.258562,-0.00667125,-2.87396,217.58
2,2.5,6.15,-0.230303,-0.00542761,-2.8662,218.033
2,2.5,6.18,-0.210115,-0.00220155,-2.85857,218.474
2,2.5,6.21,-0.188792,-0.00133245,-2.85788,219.06
2,2.5,6.24,-0.167263,0.00101612,-2.83155,219.494
2,2.5,6.27,-0.148703,0.00320797,-2.82002,219.92
2,2.5,6.3,-0.132633,0.00495638,-2.8291,220.344
2,2.5,6.33,-0.116661,0.00667591,-2.83521,220.794
2,2.5,6.36,-0.101871,0.00993865,-2.82699,221.232
2,2.5,6.39,-0.0899173,0.0124298,-2.81002,221.654
2,2.5,6.42,-0.0797262,0.0140368,-2.78073,222.08
2,2.5,6.45,-0.0701524,0.0177418,-2.78735,222.524
2,2.5,6.48,-0.0613581,0.0223054,-2.81729,222.961
2,2.5,6.51,-0.053273,0.0256459,-2.83629,223.395
2,2.5,6.54,-0.0471115,0.0294098,-2.82392,223.83
2,2.5,6.57,-0.041987,0.0339407,-2.80951,224.25
2,2.5,6.6,-0.0369991,0.0390064,-2.795,224.672
2,2.5,6.63,-0.0322635,0.0445045,-2.80685,225.162
2,2.5,6.66,-0.0273983,0.0518166,-2.79066,225.693
2,2.5,6.69,-0.0232439,0.0607684,-2.78574,226.228
2,2.5,6.72,-0.0206073,0.0714866,-2.79716,226.753
2,2.5,6.75,-0.0180831,0.0785843,-2.77466,227.213
2,2.5,6.78,-0.0167295,0.0910493,-2.79117,227.627
2,2.5,6.81,-0.0154678,0.103935,-2.81074,228.038
2,2.5,6.84,-0.0137935,0.114748,-2.80407,228.469
2,2.5,6.87,-0.0127641,0.129346,-2.78215,229
2,2.5,6.9,-0.01206,0.145477,-2.76108,229.515
2,2.5,6.93,-0.0113933,0.161387,-2.73723,230.04
2,2.5,6.96,-0.0106859,0.175869,-2.71464,230.587
2,2.5,6.99,-0.00999419,0.190987,-2.69588,231.12
2,2.5,7.02,-0.00885308,0.210996,-2.67541,231.633
2,2.5,7.05,-0.00689266,0.227352,-2.64603,232.172
2,2.5,7.08,-0.00664397,0.242751,-2.63528,232.618
2,2.5,7.11,-0.00639976,0.258073,-2.62451,233.063
2,2.5,7.14,-0.00617392,0.272793,-2.61326,233.501
2,2.5,7.17,-0.0048633,0.289441,-2.57447,233.962
2,2.5,7.2,-0.00487617,0.30702,-2.51674,234.457
2,2.5,7.23,-0.00492243,0.323143,-2.45958,234.946
2,2.5,7.26,-0.00428282,0.334068,-2.41548,235.406
2,2.5,7.29,-0.00219967,0.334646,-2.39847,235.809
2,2.5,7.32,-0.00011801,0.335116,-2.38152,236.212
2,2.5,7.35,0.000731257,0.335169,-2.34585,236.642
2,2.5,7.38,-0.000829867,0.336403,-2.27432,237.128
2,2.5,7.41,-0.0023288,0.337289,-2.20248,237.614
2,2.5,7.44,-0.00266032,0.340242,-2.14713,238.062
2,2.5,7.47,-0.00283959,0.337279,-2.10488,238.465
2,2.5,7.5,-0.00465964,0.336294,-2.05492,238.849
2,2.5,7.53,-0.00493529,0.335822,-1.99363,239.261
2,2.5,7.56,-0.00528668,0.331349,-1.95282,239.632
2,2.5,7.59,-0.00562315,0.326668,-1.91693,239.999
2,2.5,7.62,-0.00608366,0.318933,-1.87192,240.357
2,2.5,7.65,-0.0060742,0.306877,-1.81538,240.71
2,2.5,7.68,-0.00586629,0.289712,-1.7669,241.025
2,2.5,7.71,-0.00527592,0.284139,-1.71388,241.371
2,2.5,7.74,-0.00523514,0.275123,-1.65883,241.699
2,2.5,7.77,-0.00527075,0.268397,-1.61485,242.002
2,2.5,7.8,-0.00504934,0.256901,-1.58572,242.27
2,2.5,7.83,-0.00492753,0.242171,-1.55426,242.52
2,2.5,7.86,-0.00444644,0.230625,-1.52051,242.778
2,2.5,7.89,-0.0060051,0.221497,-1.48243,243.022
2,2.5,7.92,-0.00634701,0.212891,-1.44825,243.265
2,2.5,7.95,-0.00434939,0.212508,-1.41574,243.5
2,2.5,7.98,-0.00489551,0.204499,-1.39273,243.694
2,2.5,8.01,-0.00584688,0.192552,-1.3733,243.886
2,2.5,8.04,-0.00694368,0.178991,-1.35535,244.078
2,2.5,8.07,-0.00811149,0.164642,-1.33814,244.27
2,2.5,8.1,-0.00778459,0.154758,-1.32173,244.457
2,2.5,8.13,-0.00655754,0.144073,-1.3184,244.665
2,2.5,8.16,-0.00535394,0.132562,-1.31225,244.873
2,2.5,8.19,-0.00421809,0.120443,-1.30365,245.08
2,2.5,8.22,-0.00308302,0.108412,-1.29505,245.288
2,2.5,8.25,-0.00277979,0.095917,-1.28372,245.468
2,2.5,8.28,-0.00417981,0.0840282,-1.27761,245.651
2,2.5,8.31,-0.00524305,0.0770149,-1.27143,245.844
2,2.5,8.34,-0.00586302,0.0704896,-1.25853,246.027
2,2.5,8.37,-0.00638309,0.0640669,-1.24384,246.208
2,2.5,8.4,-0.00717556,0.0578214,-1.23881,246.404
2,2.5,8.43,-0.00845744,0.0510971,-1.24579,246.633
2,2.5,8.46,-0.00962293,0.04342,-1.24371,246.853
2,2.5,8.49,-0.011767,0.038481,-1.24082,247.031
2,2.5,8.52,-0.0136471,0.0331183,-1.23547,247.247
2,2.5,8.55,-0.0152088,0.0283744,-1.22838,247.439
2,2.5,8.58,-0.0173706,0.0239776,-1.22679,247.637
2,2.5,8.61,-0.0202131,0.0203202,-1.24106,247.83
2,2.5,8.64,-0.0227326,0.0168848,-1.24975,248.024
2,2.5,8.67,-0.024852,0.0150043,-1.24501,248.215
2,2.5,8.7,-0.0272911,0.012788,-1.23159,248.427
2,2.5,8.73,-0.0297046,0.0105912,-1.21832,248.637
2,2.5,8.76,-0.0319753,0.00856892,-1.21444,248.845
2,2.5,8.79,-0.0344386,0.00747557,-1.21257,249.024
2,2.5,8.82,-0.0369128,0.00642268,-1.21046,249.201
2,2.5,8.85,-0.0404367,0.00548493,-1.21133,249.401
2,2.5,8.88,-0.045551,0.00485445,-1.2219,249.601
2,2.5,8.91,-0.0504075,0.00407097,-1.22708,249.805
2,2.5,8.94,-0.0557948,0.00289374,-1.22105,250.003
2,2.5,8.97,-0.0600686,0.00129698,-1.20222,250.18
2,2.5,9,-0.0646708,2.31812e-05,-1.18863,250.368
2,2.5,9.03,-0.0713756,-6.88468e-05,-1.20068,250.595
2,2.5,9.06,-0.0779077,-0.000336117,-1.19989,250.82
2,2.5,9.09,-0.0839385,-0.00037126,-1.19104,250.982
2,2.5,9.12,-0.0893199,-0.000396518,-1.18191,251.149
2,2.5,9.15,-0.0949203,-0.000592193,-1.17117,251.331
2,2.5,9.18,-0.102173,-0.000626647,-1.16153,251.547
2,2.5,9.21,-0.106041,-0.00052666,-1.14872,251.772
2,2.5,9.24,-0.109791,-0.000377686,-1.13609,252.001
2,2.5,9.27,-0.121223,1.93247e-05,-1.11862,252.243
2,2.5,9.3,-0.129452,0.000414978,-1.10258,252.467
2,2.5,9.33,-0.12891,0.000604457,-1.08996,252.655
2,2.5,9.36,-0.129222,0.000652413,-1.07452,252.844
2,2.5,9.39,-0.130452,0.00103405,-1.06271,253.014
2,2.5,9.42,-0.132495,0.00159009,-1.0488,253.18
2,2.5,9.45,-0.135143,0.00138059,-1.03244,253.346
2,2.5,9.48,-0.139093,0.000235638,-1.01047,253.539
2,2.5,9.51,-0.139652,-8.79171e-05,-0.983967,253.75
2,2.5,9.54,-0.138053,-0.00059315,-0.95855,253.941
2,2.5,9.57,-0.134063,-0.00185791,-0.942825,254.107
2,2.5,9.6,-0.135238,-0.00260919,-0.925832,254.258
2,2.5,9.63,-0.138299,-0.00265679,-0.905553,254.395
2,2.5,9.66,-0.136922,-0.00184697,-0.876087,254.536
2,2.5,9.69,-0.132762,-0.00236545,-0.86382,254.648
2,2.5,9.72,-0.128472,-0.00296628,-0.852607,254.758
2,2.5,9.75,-0.125511,-0.00340674,-0.839953,254.87
2,2.5,9.78,-0.12265,-0.00292173,-0.817225,255.009
2,2.5,9.81,-0.11879,-0.00230642,-0.792914,255.15
2,2.5,9.84,-0.114938,-0.00169115,-0.768626,255.291
2,2.5,9.87,-0.110987,-0.000596969,-0.758447,255.412
2,2.5,9.9,-0.105895,0.000238624,-0.742112,255.542
2,2.5,9.93,-0.101414,0.000717595,-0.727315,255.661
2,2.5,9.96,-0.0989122,0.00108746,-0.712878,255.752
2,2.5,9.99,-0.0963274,0.00152652,-0.699071,255.846
2,2.5,10.02,-0.0902728,0.0019531,-0.687499,255.962
2,2.5,10.05,-0.0840569,0.00177597,-0.670737,256.086
2,2.5,10.08,-0.0778768,0.0017143,-0.658386,256.191
2,2.5,10.11,-0.0707326,0.00178279,-0.653007,256.276
2,2.5,10.14,-0.0624154,0.00170409,-0.644125,256.361
2,2.5,10.17,-0.0576729,0.00115221,-0.633872,256.453
2,2.5,10.2,-0.0543007,0.000668713,-0.626647,256.54
2,2.5,10.23,-0.0505376,0.000308612,-0.622223,256.625
2,2.5,10.26,-0.0440795,9.55699e-05,-0.622013,256.715
2,2.5,10.29,-0.0392731,0.000555856,-0.617476,256.818
2,2.5,10.32,-0.0353201,0.000849999,-0.61675,256.906
2,2.5,10.35,-0.0310551,0.00117538,-0.611919,256.997
2,2.5,10.38,-0.0276016,0.00133283,-0.609232,257.085
2,2.5,10.41,-0.0251328,0.00143366,-0.609315,257.173
2,2.5,10.44,-0.0230768,0.00190307,-0.606486,257.267
2,2.5,10.47,-0.0199572,0.0023025,-0.602469,257.367
2,2.5,10.5,-0.0166487,0.00253471,-0.602605,257.47
2,2.5,10.53,-0.0148012,0.00291992,-0.600804,257.562
2,2.5,10.56,-0.0126922,0.00337144,-0.600188,257.654
2,2.5,10.59,-0.0102538,0.00384869,-0.59923,257.748
2,2.5,10.62,-0.00863924,0.00424569,-0.600717,257.844
2,2.5,10.65,-0.00714835,0.00478556,-0.606164,257.945
2,2.5,10.68,-0.00563532,0.00530653,-0.60978,258.047
2,2.5,10.71,-0.00473321,0.00611364,-0.608244,258.149
2,2.5,10.74,-0.00394685,0.00716113,-0.604234,258.248
2,2.5,10.77,-0.00314636,0.00822748,-0.60014,258.348
2,2.5,10.8,-0.00246114,0.00928297,-0.598535,258.445
2,2.5,10.83,-0.00184844,0.0104173,-0.59899,258.538
2,2.5,10.86,-0.00121718,0.0115537,-0.599389,258.633
2,2.5,10.89,-0.000749849,0.0127544,-0.59549,258.711
2,2.5,10.92,-0.000193178,0.0139986,-0.595301,258.8
2,2.5,10.95,0.000318133,0.0157651,-0.596852,258.91
2,2.5,10.98,0.00057909,0.0178618,-0.596483,259.03
2,2.5,11.01,0.000607639,0.0193367,-0.593651,259.124
2,2.5,11.04,0.000664983,0.0209879,-0.591645,259.213
2,2.5,11.07,0.000782695,0.0231073,-0.590347,259.321
2,2.5,11.1,0.000918429,0.025273,-0.590833,259.437
2,2.5,11.13,0.0011625,0.0275227,-0.590991,259.552
2,2.5,11.16,0.00141386,0.030149,-0.58887,259.649
2,2.5,11.19,0.0013669,0.0323687,-0.584377,259.739
2,2.5,11.22,0.0011957,0.0340599,-0.577223,259.826
2,2.5,11.25,0.00101297,0.0356537,-0.569895,259.911
2,2.5,11.28,0.000850919,0.0364914,-0.5684,260.01
2,2.5,11.31,0.000664685,0.0376318,-0.566002,260.105
2,2.5,11.34,0.00055566,0.0391973,-0.560436,260.194
2,2.5,11.37,0.000426051,0.0409337,-0.551593,260.298
2,2.5,11.4,0.000263111,0.0421431,-0.539032,260.395
2,2.5,11.43,0.000183822,0.0432526,-0.531724,260.483
2,2.5,11.46,0.000218185,0.0443439,-0.529564,260.562
2,2.5,11.49,0.00028006,0.0455151,-0.527224,260.641
2,2.5,11.52,0.000237179,0.0450695,-0.520378,260.723
2,2.5,11.55,-0.00019686,0.0452682,-0.509101,260.802
2,2.5,11.58,-0.000570158,0.0447491,-0.494725,260.889
2,2.5,11.61,-0.000831972,0.0442819,-0.482098,260.973
2,2.5,11.64,-0.000752079,0.0436787,-0.475044,261.048
2,2.5,11.67,-0.000984068,0.0421221,-0.466352,261.119
2,2.5,11.7,-0.000968885,0.0422448,-0.454199,261.196
2,2.5,11.73,-0.00101515,0.0416734,-0.43883,261.269
2,2.5,11.76,-0.000731727,0.0401529,-0.433133,261.337
2,2.5,11.79,-0.000634391,0.0380924,-0.426849,261.409
2,2.5,11.82,-0.000565098,0.0358636,-0.418383,261.482
2,2.5,11.85,-0.000685062,0.0321435,-0.409706,261.546
2,2.5,11.88,-0.000555549,0.0308083,-0.399034,261.607
2,2.5,11.91,-0.000365358,0.0297869,-0.388048,261.673
2,2.5,11.94,-0.000231721,0.0289535,-0.376369,261.74
2,2.5,11.97,-0.000147942,0.0267606,-0.367118,261.799
2,2.5,12,-0.000439808,0.0249024,-0.360539,261.854
2,2.5,12.03,-0.00070843,0.0229988,-0.354169,261.909
2,2.5,12.06,-0.000871717,0.021032,-0.348741,261.963
2,2.5,12.09,-0.000904867,0.0193358,-0.344624,262.011
2,2.5,12.12,-0.000980321,0.0180242,-0.340621,262.059
2,2.5,12.15,-0.0011044,0.0170127,-0.336731,262.106
2,2.5,12.18,-0.00112421,0.014827,-0.333103,262.151
2,2.5,12.21,-0.00121342,0.0128186,-0.329854,262.199
2,2.5,12.24,-0.00128494,0.0110025,-0.326947,262.251
2,2.5,12.27,-0.00132387,0.00938102,-0.324416,262.307
2,2.5,12.3,-0.00134145,0.00798262,-0.322378,262.36
