Points_0,Points_1,Points_2,U_0,U_1,U_2,U_Magnitude,p
0,0,24.48,0.000803949,-0.00254421,5.42578,5.42578,-1624.24
0,0,24.51,-0.000865144,-0.00373918,5.46179,5.46179,-1625.29
0,0,24.54,-0.00117765,-0.0029124,5.49877,5.49877,-1626.4
0,0,24.57,-0.000306207,-0.000740822,5.53183,5.53183,-1627.42
0,0,24.6,-0.00140505,-0.00183189,5.57184,5.57184,-1628.49
0,0,24.63,-0.00261033,-0.000388994,5.60691,5.60691,-1629.52
0,0,24.66,-0.00233881,-0.00192467,5.64659,5.64659,-1630.59
0,0,24.69,-0.00228109,-0.00139795,5.68149,5.68149,-1631.66
0,0,24.72,-0.00432461,-0.00135072,5.7178,5.71781,-1632.76
0,0,24.75,-0.00556889,-0.00143543,5.75286,5.75287,-1633.8
0,0,24.78,-0.00409909,-0.00185414,5.79203,5.79203,-1634.96
0,0,24.81,-0.00472953,-0.000718267,5.8291,5.8291,-1636.03
0,0,24.84,-0.00467795,-0.000771044,5.86838,5.86838,-1637.27
0,0,24.87,-0.00496088,-0.000203335,5.90779,5.90779,-1638.46
0,0,24.9,-0.00475003,-0.000162831,5.94243,5.94244,-1639.48
0,0,24.93,-0.00544507,0.00184382,5.98139,5.98139,-1640.64
0,0,24.96,-0.00455035,0.000791661,6.01899,6.01899,-1641.8
0,0,24.99,-0.00417737,0.0016037,6.05449,6.05449,-1642.94
0,0,25.02,-0.0054453,0.00219692,6.08959,6.0896,-1644.03
0,0,25.05,-0.0044242,0.00292472,6.1287,6.1287,-1645.16
0,0,25.08,-0.0032155,0.00341187,6.16679,6.16679,-1646.45
0,0,25.11,-0.0039979,0.00268357,6.20213,6.20213,-1647.6
0,0,25.14,-0.00453212,0.00397722,6.23647,6.23647,-1648.79
0,0,25.17,-0.00510809,0.00416954,6.27172,6.27172,-1649.96
0,0,25.2,-0.00244277,0.00247875,6.30504,6.30504,-1651.09
0,0,25.23,-0.00278292,0.00270786,6.34083,6.34083,-1652.29
0,0,25.26,-0.00297094,0.0031571,6.37726,6.37727,-1653.52
0,0,25.29,-0.00321633,0.00491413,6.40874,6.40874,-1654.72
0,0,25.32,-0.00293543,0.00478764,6.43746,6.43747,-1655.95
0,0,25.35,-0.00293428,0.00439289,6.46987,6.46987,-1657.19
0,0,25.38,-0.0012359,0.00519588,6.49609,6.49609,-1658.26
0,0,25.41,-0.000693218,0.0051009,6.52332,6.52332,-1659.5
0,0,25.44,-0.00119525,0.00493256,6.54791,6.54791,-1660.7
0,0,25.47,-0.00209606,0.00427306,6.57231,6.57231,-1661.89
0,0,25.5,-0.000995323,0.00441015,6.59851,6.59851,-1663.12
0,0,25.53,-0.000689606,0.00448682,6.61903,6.61904,-1664.36
0,0,25.56,-0.000370075,0.0052099,6.6371,6.6371,-1665.59
0,0,25.59,0.000563943,0.00513078,6.65985,6.65985,-1666.68
0,0,25.62,-8.44184e-05,0.00515201,6.66848,6.66848,-1667.89
0,0,25.65,0.000650054,0.00423974,6.68347,6.68347,-1668.99
0,0,25.68,0.000343706,0.00399581,6.70693,6.70693,-1670.13
0,0,25.71,1.09587e-06,0.00296734,6.70924,6.70924,-1671.25
0,0,25.74,0.000239986,0.00241075,6.71661,6.71661,-1672.42
0,0,25.77,0.000475604,0.0030568,6.72529,6.72529,-1673.49
0,0,25.8,0.00113483,0.00288482,6.73957,6.73957,-1674.77
0,0,25.83,0.00166868,0.00278026,6.74882,6.74882,-1675.86
0,0,25.86,0.00148297,0.00252748,6.75721,6.75721,-1677.01
0,0,25.89,0.0016635,0.00259233,6.74707,6.74708,-1678.13
0,0,25.92,0.00155215,0.00218004,6.75929,6.75929,-1679.22
0,0,25.95,0.000999434,0.00229053,6.75879,6.75879,-1680.26
0,0,25.98,0.000653693,0.00249998,6.75337,6.75337,-1681.27
0,0,26.01,0.000865406,0.00260576,6.76431,6.76431,-1682.4
0,0,26.04,0.00144864,0.00297445,6.768,6.768,-1683.58
0,0,26.07,0.00185358,0.00260024,6.76071,6.76071,-1684.6
0,0,26.1,0.00238269,0.00181529,6.76767,6.76767,-1685.8
0,0,26.13,0.00267313,0.000886313,6.76388,6.76388,-1686.88
0,0,26.16,0.00266648,-0.000397512,6.76615,6.76615,-1688.1
0,0,26.19,0.00254291,-0.00101866,6.76617,6.76617,-1689.14
0,0,26.22,0.00196573,-0.00141849,6.76481,6.76481,-1690.26
0,0,26.25,0.000886153,-0.00143722,6.75937,6.75937,-1691.26
0,0,26.28,-0.000176566,-0.00125602,6.76164,6.76164,-1692.37
0,0,26.31,-0.000462935,-0.000634466,6.76064,6.76064,-1693.44
0,0,26.34,-0.000137044,0.000287687,6.76711,6.76711,-1694.47
0,0,26.37,0.000257577,0.00128731,6.76743,6.76743,-1695.58
0,0,26.4,0.000623543,0.00215558,6.7655,6.7655,-1696.73
0,0,26.43,0.000416847,0.00214246,6.76103,6.76103,-1697.86
0,0,26.46,-0.000568879,0.0015117,6.75864,6.75864,-1699.03
0,0,26.49,-0.00099579,0.0010891,6.75991,6.75991,-1700.14
0,0,26.52,-0.000990082,0.000973703,6.75707,6.75707,-1701.32
0,0,26.55,-0.000525184,0.00110476,6.75909,6.75909,-1702.33
0,0,26.58,-0.000741951,0.00128322,6.76417,6.76417,-1703.38
0,0,26.61,-0.00098077,0.00143774,6.76051,6.76051,-1704.45
0,0,26.64,-0.00139457,0.00160543,6.75744,6.75744,-1705.5
0,0,26.67,-0.00234387,0.00213299,6.77384,6.77384,-1706.58
0,0,26.7,-0.00296671,0.00236256,6.77857,6.77857,-1707.58
0,0,26.73,-0.0029294,0.00217367,6.76287,6.76287,-1708.55
0,0,26.76,-0.00275724,0.00194904,6.75668,6.75668,-1709.67
0,0,26.79,-0.00244845,0.00157561,6.75741,6.75741,-1710.97
0,0,26.82,-0.00187657,0.00132294,6.75657,6.75657,-1712
0,0,26.85,-0.00149852,0.00111158,6.75333,6.75333,-1712.99
0,0,26.88,-0.000868022,0.00115791,6.76291,6.76291,-1714.01
0,0,26.91,-0.000502581,0.00115195,6.76249,6.76249,-1715.07
0,0,26.94,-0.000431027,0.000782544,6.75771,6.75771,-1716.13
0,0,26.97,-0.000335938,0.000365652,6.75745,6.75745,-1717.15
0,0,27,-0.000615984,-0.000345622,6.76135,6.76135,-1718.41
0,0,27.03,-0.000753929,-0.00109937,6.75966,6.75966,-1719.66
0,0,27.06,-0.000476022,-0.000996075,6.75508,6.75508,-1720.64
0,0,27.09,-0.00011941,-0.000733458,6.74297,6.74297,-1721.51
0,0,27.12,0.000473665,-0.000196637,6.74078,6.74078,-1722.62
0,0,27.15,0.00121718,0.00043562,6.74077,6.74077,-1723.81
0,0,27.18,0.00218345,0.00101568,6.76812,6.76813,-1724.98
0,0,27.21,0.00300428,0.00153776,6.79008,6.79008,-1726.15
0,0,27.24,0.00167267,0.000864742,6.76143,6.76143,-1727.29
0,0,27.27,0.00031455,0.000322551,6.73978,6.73978,-1728.41
0,0,27.3,-0.00111921,0.000654998,6.76516,6.76516,-1729.34
0,0,27.33,-0.00150165,0.000106267,6.76211,6.76211,-1730.36
0,0,27.36,-0.000670282,-0.000754826,6.73986,6.73986,-1731.42
0,0,27.39,-1.42268e-05,-0.00152214,6.75765,6.75765,-1732.54
0,0,27.42,0.000907098,-0.00182139,6.75547,6.75547,-1733.69
0,0,27.45,0.00230009,-0.0018767,6.74272,6.74273,-1734.81
0,0,27.48,0.00360369,-0.00144701,6.7555,6.7555,-1735.87
0,0,27.51,0.00482281,-0.000918196,6.77203,6.77203,-1736.92
0,0,27.54,0.00402489,-0.00118939,6.75227,6.75227,-1737.99
0,0,27.57,0.00280026,-0.00159764,6.71871,6.71871,-1739.06
0,0,27.6,0.00157563,-0.00311531,6.74603,6.74603,-1740.16
0,0,27.63,0.000723912,-0.00457846,6.75924,6.75924,-1741.25
0,0,27.66,0.000715544,-0.00537734,6.74893,6.74893,-1742.29
0,0,27.69,0.00100352,-0.00589899,6.71817,6.71817,-1743.41
0,0,27.72,0.00055009,-0.00580092,6.72967,6.72968,-1744.57
0,0,27.75,0.000488468,-0.00443171,6.73227,6.73227,-1745.62
0,0,27.78,-0.000145532,-0.00187436,6.72382,6.72382,-1746.58
0,0,27.81,-0.000459962,0.000832003,6.71551,6.71551,-1747.63
0,0,27.84,-0.00069475,0.00346313,6.71008,6.71008,-1748.7
0,0,27.87,-0.000703131,0.00601779,6.71221,6.71221,-1749.91
0,0,27.9,-0.000147929,0.00699732,6.73304,6.73304,-1751.04
0,0,27.93,0.000289342,0.00637995,6.73258,6.73258,-1752.07
0,0,27.96,0.000407915,0.00477772,6.72946,6.72947,-1753.12
0,0,27.99,0.000208553,0.00267725,6.72991,6.72991,-1754.29
0,0,28.02,-0.000354352,0.000784508,6.7205,6.7205,-1755.36
0,0,28.05,-0.00114056,-0.00082612,6.72148,6.72148,-1756.62
0,0,28.08,-0.00167486,-0.00244687,6.72546,6.72547,-1757.77
0,0,28.11,-0.00198572,-0.00407756,6.72826,6.72826,-1758.89
0,0,28.14,-0.00212719,-0.00544467,6.71806,6.71806,-1759.99
0,0,28.17,-0.00185421,-0.00563773,6.7256,6.7256,-1760.98
0,0,28.2,-0.00215535,-0.00560035,6.72072,6.72073,-1761.9
